timestamp,regime,numTrials,k,N,n,epsilon,gamma,omega,opt,blindoracle,lru,combined
2024-04-18T14:10:38.945972,1,100,10,100,10000,0.5,0.3,0,4105.37,4105.37,6157.94,4121.18
2024-04-18T14:10:44.117920,2,100,10,100,10000,0.5,0.99,0,4103.86,4103.86,6149.48,4119.73
2024-04-18T14:10:48.980391,1,100,10,100,10000,0.5,0.3,200,4111.79,4747.04,6157.92,4766.72
2024-04-18T14:10:54.495649,2,100,10,100,10000,0.5,0.99,200,4109.54,6358.79,6157.53,6179.97
2024-04-18T14:10:59.410894,1,100,10,100,10000,0.5,0.3,400,4102.45,5039.51,6151.27,5091.11
2024-04-18T14:11:04.680144,2,100,10,100,10000,0.5,0.99,400,4099.13,7392.26,6148.46,6160.12
2024-04-18T14:11:09.574842,1,100,10,100,10000,0.5,0.3,600,4108.35,5172.03,6155.98,5294.35
2024-04-18T14:11:14.876089,2,100,10,100,10000,0.5,0.99,600,4108.68,7804.42,6155.6,6156.98
2024-04-18T14:11:19.773752,1,100,10,100,10000,0.5,0.3,800,4105.2,5230.18,6151.13,5514.08
2024-04-18T14:11:24.996729,2,100,10,100,10000,0.5,0.99,800,4110.79,7995.02,6161.22,6162.26
2024-04-18T14:11:29.866270,1,100,10,100,10000,0.5,0.3,1000,4106.51,5251.94,6156.64,5601.36
2024-04-18T14:11:35.087661,2,100,10,100,10000,0.5,0.99,1000,4108.66,8104.71,6161.02,6161.36
2024-04-18T14:11:39.957785,1,100,10,100,10000,0.5,0.3,1200,4104.64,5271.13,6148.48,5703.63
2024-04-18T14:11:45.208742,2,100,10,100,10000,0.5,0.99,1200,4111.47,8156.0,6153.63,6154.48
2024-04-18T14:11:50.071701,1,100,10,100,10000,0.5,0.3,1400,4113.29,5284.95,6164.49,5656.96
2024-04-18T14:11:55.304167,2,100,10,100,10000,0.5,0.99,1400,4114.26,8189.71,6159.94,6162.84
2024-04-18T14:12:00.171889,1,100,10,100,10000,0.5,0.3,1600,4111.29,5285.15,6161.75,5685.19
2024-04-18T14:12:05.402281,2,100,10,100,10000,0.5,0.99,1600,4112.15,8206.27,6165.45,6166.99
2024-04-18T14:12:10.270631,1,100,10,100,10000,0.5,0.3,1800,4106.08,5281.52,6160.56,5622.8
2024-04-18T14:12:15.499939,2,100,10,100,10000,0.5,0.99,1800,4108.85,8217.61,6163.41,6164.62
2024-04-18T14:12:20.370060,1,100,10,100,10000,0.5,0.3,2000,4105.03,5277.05,6153.83,5615.66
2024-04-18T14:12:25.586021,2,100,10,100,10000,0.5,0.99,2000,4102.44,8209.17,6146.58,6147.73
