timestamp,regime,numTrials,k,N,n,epsilon,gamma,omega,opt,blindoracle,lru,combined
2024-04-18T12:24:36.151855,1,100,10,100,10000,0.5,0.3,100,4107.2,4391.75,6156.73,4408.82
2024-04-18T12:24:41.418676,2,100,10,100,10000,0.5,0.99,1000,4107.87,8097.78,6150.27,6151.95
2024-04-18T12:24:48.264407,1,100,20,200,10000,0.5,0.3,100,3963.34,4005.39,6195.31,4036.0
2024-04-18T12:24:55.605981,2,100,20,200,10000,0.5,0.99,1000,3963.16,7858.72,6194.69,6194.69
2024-04-18T12:25:05.104624,1,100,30,300,10000,0.5,0.3,100,3905.2,3915.46,6206.58,3960.89
2024-04-18T12:25:15.250651,2,100,30,300,10000,0.5,0.99,1000,3901.3,7426.96,6203.78,6203.78
2024-04-18T12:25:29.325440,1,100,40,400,10000,0.5,0.3,100,3876.99,3883.97,6217.8,3944.64
2024-04-18T12:25:44.204553,2,100,40,400,10000,0.5,0.99,1000,3871.76,6986.81,6210.98,6210.98
2024-04-18T12:26:01.293933,1,100,50,500,10000,0.5,0.3,100,3862.37,3868.3,6226.62,3944.58
2024-04-18T12:26:18.775872,2,100,50,500,10000,0.5,0.99,1000,3864.32,6607.37,6232.79,6232.79
2024-04-18T12:26:39.173496,1,100,60,600,10000,0.5,0.3,100,3849.81,3855.37,6231.56,3946.5
2024-04-18T12:27:00.130321,2,100,60,600,10000,0.5,0.99,1000,3848.65,6251.51,6228.34,6228.34
2024-04-18T12:27:23.643486,1,100,70,700,10000,0.5,0.3,100,3848.58,3853.87,6238.14,3960.01
2024-04-18T12:27:47.464556,2,100,70,700,10000,0.5,0.99,1000,3850.98,5924.89,6244.36,6239.62
2024-04-18T12:28:13.344737,1,100,80,800,10000,0.5,0.3,100,3849.68,3854.74,6249.69,3975.5
2024-04-18T12:28:39.972171,2,100,80,800,10000,0.5,0.99,1000,3839.7,5629.01,6238.09,6213.59
2024-04-18T12:29:09.032561,1,100,90,900,10000,0.5,0.3,100,3842.03,3846.43,6236.59,3982.86
2024-04-18T12:29:38.655274,2,100,90,900,10000,0.5,0.99,1000,3840.09,5361.08,6244.86,5765.38
2024-04-18T12:30:10.224802,1,100,100,1000,10000,0.5,0.3,100,3844.23,3849.35,6245.95,3999.79
2024-04-18T12:30:42.903298,2,100,100,1000,10000,0.5,0.99,1000,3836.75,5118.68,6240.85,5322.09
